0,1,2,3,4,5,6,7,8
序号,商品名称,规格,单位,平均零售价,海光,洧水,姜堰城东,高新恒景
,一、豆制品,,,,,,,
1,素鸡,优质,元/500克,6.50,6,5.50,7.50,7
2,百叶,石膏制作法,元/500克,6.38,6,5,7.50,7
3,百叶,卤水制作法,元/500克,7.88,7.50,8,7.50,8.50
4,豆腐,老豆腐,元/500克,3.5,3,3,4,4
5,豆腐,内酯豆腐,元/500克,2.08,1.50,2.20,2,2.60
6,茶干,优质,元/500克,6.5,6,5,8,7
,二、肉禽蛋,,,,,,,
7,鲜猪肉,后腿-精瘦肉,元/500克,15,15,14,15,16
8,鲜猪肉,肋条肉-带皮去骨,元/500克,16.5,17,15,17,17
9,鲜猪肉,后腿-带皮去骨,元/500克,14.5,15,13,15,15
10,鲜猪肉,前腿-带皮去骨,元/500克,15.5,15,15,16,16
11,鲜猪肉,普通五花肉,元/500克,15,14,15,15,16
12,鲜猪肉,肋排,元/500克,24.5,25,23,25,25
13,鲜猪肉,大排,元/500克,17,,15,18,18
14,鲜猪肉,仔排,元/500克,30,,28,32,30
15,生牛肉,水牛腱,元/500克,55,,55,55,55
16,生牛肉,水牛腩,元/500克,45,45,45,45,45
17,熟牛肉,水牛腩,元/500克,60,65,60,55,60
18,熟牛肉,水牛腱,元/500克,88.75,90,90,85,90
19,白条鸡,开膛鸡场鸡,元/500克,9.38,9,8.50,10,10
20,肉鸡,鲜活(三黄鸡),元/500克,11,11,,,11
21,草鸡,鲜活(鸡场),元/500克,22.5,25,,,20
22,洋鸡蛋,新鲜,元/500克,3.95,4,4,3.80,4
23,草鸡蛋,鸡场蛋,元/500克,5.75,5.50,6,5.50,6
,三、水产品,,,,,,,
24,带鱼,冰鲜250克左右,元/500克,23,25,20,22,25
25,鲳鳊鱼,冰鲜250克左右,元/500克,43.25,45,45,38,45
26,鲫鱼,活350克左右,元/500克,12.75,11,12,15,13
27,白鲢,活1000克左右,元/500克,4.83,4.50,4.50,,5.50
28,花鲢,活1500克左右,元/500克,9.5,9,10,9,10
29,鳊鱼,活 500克左右,元/500克,9.5,9,9,10,10
30,草鱼,活1500克左右,元/500克,9.38,9,9.50,9,10
31,桂鱼,活250克左右,元/500克,41,,38,45,40
32,黑鱼,活 1000克以上,元/500g,14.75,13,15,15,16
33,鲈鱼,活 500克以上,元/500g,16.62,14,16.50,18,18
34,河虾,活120-140只/500克,元/500克,90,80,100,,90
35,基围虾,活30-40只/500克,元/500g,29.5,26,28,32,32
36,黄鳝丝,新鲜鳝丝,元/500克,58.33,60,,55,60
,四、蔬菜,,,,,,,
37,西芹,新鲜一级,元/500克,4.50,3.50,4.50,5,5
38,药芹,本芹，新鲜一级,元/500克,3.88,3.50,3,4,5
39,水芹,新鲜一级,元/500克,4.75,4,4,5,6
40,大白菜,新鲜一级,元/500克,1.90,1.80,1.80,2,2
41,娃娃菜,新鲜一级,元/500克,5,5,5,4,6
42,青菜,新鲜一级,元/500克,2.88,2.50,3,3,3
43,上海青菜心,新鲜一级,元/500克,2.67,3,2,3,
44,上海青菜,新鲜一级,元/500克,3.75,4,4,3,4
45,黄瓜,新鲜一级,元/500克,4.75,4,4,5,6
46,长白萝卜,新鲜一级,元/500克,1.75,1.50,1.50,2,2
47,圆白萝卜,新鲜一级,元/500克,2.75,2.50,2.50,3,3
48,圆红萝卜,新鲜一级,元/500克,3.33,,3,3,4
49,紫茄子,新鲜一级,元/500克,4.5,4,4,5,5
50,西红柿,新鲜一级,元/500克,4.75,4,4,5,6
51,樱桃西红柿,新鲜一级,元/500克,7.5,7,7,8,8
52,土豆,新鲜一级,元/500克,2.62,2.50,2.50,2.50,3
53,荷兰土豆,新鲜一级,元/500克,3.12,3,3,3.50,3
54,胡萝卜,新鲜一级,元/500克,3,3,3,3,3
55,圆青椒,菜椒，新鲜一级,元/500克,5.5,6,6,5,5
56,薄皮青椒,新鲜一级,元/500克,6.25,6,6,6,7
57,尖青椒,新鲜一级,元/500克,4.83,4,3.50,7,
58,小尖青椒,新鲜一级,元/500克,7.5,7,6,8,9
59,包菜,圆白菜，新鲜一级,元/500克,2.08,2,1.80,2,2.50
60,牛心菜,新鲜一级,元/500克,2.38,2,2,2.50,3
61,四季豆,豆角，新鲜一级,元/500克,7.83,8,7.50,8,
62,蚕豆,带壳，新鲜一级,元/500克,3.75,3.50,,4,
63,蒜苔,新鲜一级,元/500克,8.25,8,8,8,9
64,韭菜,洋韭菜，新鲜一级,元/500克,4.25,4,4,4,5
65,韭菜黄,新鲜一级,元/500克,7.67,6,,8,9
66,花菜,新鲜一级,元/500克,4,,,4,
67,有机花菜,新鲜一级,元/500克,4.38,4,3.50,5,5
68,洋葱,新鲜一级,元/500克,2.62,2.50,2,3,3
69,冬瓜,新鲜一级,元/500克,3.12,3,2.50,3,4
70,黄豆芽,新鲜一级,元/500克,2,2,2,2,2
71,绿豆芽,新鲜一级,元/500克,2,2,2,2,2
72,菠菜,新鲜一级,元/500克,4,3,4,4,5
73,洋山药,新鲜一级,元/500克,5,5,5,4,6
74,土山药,新鲜一级,元/500克,5.75,6,6,5,6
75,西兰花,新鲜一级,元/500克,5,5,4,5,6
76,生菜,新鲜一级,元/500克,4.12,4,3.50,4,5
77,香菜,新鲜一级,元/500克,5.75,6,5,5,7
78,茼蒿,小叶，新鲜一级,元/500克,3.5,4,3,3,4
79,蘑菇,新鲜一级,元/500克,9.12,8,8.50,10,10
80,平菇,新鲜一级,元/500克,5.88,6,6,5,6.50
81,香菇,新鲜一级,元/500克,8.38,8,8.50,8,9
82,金针菇,新鲜一级,元/500克,5.5,6,5,5,6
83,丝瓜,新鲜一级,元/500克,6.75,7,6,7,7
84,毛豆角,新鲜一级,元/500克,6.67,6,6,8,
85,蒜头,干，新鲜一级,元/500克,7.25,7,7,7,8
86,大蒜,新鲜一级,元/500克,4.00,5,3.50,3,4.50
87,生姜,老生姜，新鲜一级,元/500克,7.62,7,6.50,8,9
88,苦瓜,新鲜一级,元/500克,8.25,8,8,8,9
89,豇豆,新鲜一级,元/500克,7.38,7,6.50,8,8
90,空心菜,新鲜一级,元/500克,8,7,,9,8
91,韭菜苔,新鲜一级,元/500克,9.5,9,,10,
92,青南瓜,新鲜一级,元/500克,5.5,5,6,5,6
93,红南瓜,新鲜一级,元/500克,4.88,4.50,5,5,5
94,莲藕,新鲜一级,元/500克,4.75,5,4,5,5
95,苋菜,新鲜一级,元/500克,5.5,6,,5,
96,西葫芦,新鲜一级,元/500克,4.12,4,3.50,4,5
97,茭白,新鲜一级,元/500克,11.25,10,12,10,13
98,慈菇,新鲜一级,元/500克,5.38,5,4.50,6,6
99,荸荠,新鲜一级,元/500克,7,,,7,
100,本地芋头,新鲜一级,元/500克,5.33,,4,6,6
101,外地芋头,新鲜一级,元/500克,5,4,4,6,6
,五、水果,,,,,,,
102,橙子,国产 一级,元/500克,5.50,5,5,,6.50
103,苹果,红富士一级（75）,元/500克,6.25,6.50,6,,
104,苹果,红富士一级,元/500克,7.25,7.50,7,,
105,香蕉,国产一级,元/500克,4.83,4.50,5,,5
106,西瓜,本地主销,元/500克,4.50,4.50,4,,5
107,梨,新鲜一级,元/500克,3.17,3,3,,3.50
