商品名称,规格,最低价
素鸡,优质,11.0
百叶,石膏制作法,10.0
百叶,卤水制作法,15.0
豆腐,老豆腐,6.0
豆腐,内酯豆腐,3.0
茶干,优质,10.0
鲜猪肉,后腿-精瘦肉,28.0
鲜猪肉,肋条肉-带皮去骨,30.0
鲜猪肉,后腿-带皮去骨,24.0
鲜猪肉,前腿-带皮去骨,28.0
鲜猪肉,普通五花肉,28.0
鲜猪肉,肋排,44.0
鲜猪肉,大排,30.0
鲜猪肉,仔排,52.0
生牛肉,水牛腱,110.0
生牛肉,水牛腩,90.0
熟牛肉,水牛腩,110.0
熟牛肉,水牛腱,170.0
白条鸡,开膛鸡场鸡,17.0
肉鸡,鲜活(三黄鸡),22.0
草鸡,鲜活(鸡场),40.0
洋鸡蛋,新鲜,8.0
草鸡蛋,鸡场蛋,11.0
带鱼,冰鲜250克左右,40.0
鲳鳊鱼,冰鲜250克左右,76.0
鲫鱼,活350克左右,22.0
白鲢,活1000克左右,9.0
花鲢,活1500克左右,18.0
鳊鱼,活 500克左右,19.0
草鱼,活1500克左右,16.0
桂鱼,活250克左右,68.0
黑鱼,活 1000克以上,28.0
鲈鱼,活 500克以上,30.0
河虾,活120-140只/500克,160.0
基围虾,活30-40只/500克,48.0
黄鳝丝,新鲜鳝丝,110.0
西芹,新鲜一级,8.0
药芹,本芹，新鲜一级,6.0
水芹,新鲜一级,8.0
大白菜,新鲜一级,2.4
娃娃菜,新鲜一级,8.0
青菜,新鲜一级,5.0
上海青菜心,新鲜一级,4.0
上海青菜,新鲜一级,6.0
黄瓜,新鲜一级,6.0
长白萝卜,新鲜一级,3.0
圆白萝卜,新鲜一级,4.0
圆红萝卜,新鲜一级,5.0
紫茄子,新鲜一级,8.0
西红柿,新鲜一级,7.0
樱桃西红柿,新鲜一级,14.0
土豆,新鲜一级,5.0
荷兰土豆,新鲜一级,6.0
胡萝卜,新鲜一级,5.0
圆青椒,菜椒，新鲜一级,8.0
薄皮青椒,新鲜一级,10.0
尖青椒,新鲜一级,7.0
小尖青椒,新鲜一级,12.0
包菜,圆白菜，新鲜一级,2.6
牛心菜,新鲜一级,4.0
四季豆,豆角，新鲜一级,14.0
蚕豆,带壳，新鲜一级,7.0
蒜苔,新鲜一级,10.0
韭菜,洋韭菜，新鲜一级,7.0
韭菜黄,新鲜一级,16.0
花菜,新鲜一级,6.0
有机花菜,新鲜一级,6.0
洋葱,新鲜一级,3.6
冬瓜,新鲜一级,4.0
黄豆芽,新鲜一级,4.0
绿豆芽,新鲜一级,4.0
菠菜,新鲜一级,7.0
洋山药,新鲜一级,10.0
土山药,新鲜一级,12.0
西兰花,新鲜一级,8.0
生菜,新鲜一级,6.0
香菜,新鲜一级,8.0
茼蒿,小叶，新鲜一级,6.0
蘑菇,新鲜一级,15.0
平菇,新鲜一级,10.0
香菇,新鲜一级,14.0
金针菇,新鲜一级,9.0
丝瓜,新鲜一级,10.0
毛豆角,新鲜一级,10.0
蒜头,干，新鲜一级,14.0
大蒜,新鲜一级,6.0
生姜,老生姜，新鲜一级,12.0
苦瓜,新鲜一级,12.0
豇豆,新鲜一级,14.0
空心菜,新鲜一级,14.0
韭菜苔,新鲜一级,18.0
青南瓜,新鲜一级,10.0
红南瓜,新鲜一级,8.0
莲藕,新鲜一级,7.0
苋菜,新鲜一级,10.0
西葫芦,新鲜一级,6.0
茭白,新鲜一级,16.0
慈菇,新鲜一级,9.0
荸荠,新鲜一级,12.0
本地芋头,新鲜一级,8.0
外地芋头,新鲜一级,8.0
橙子,国产 一级,9.0
苹果,红富士一级（75）,12.0
苹果,红富士一级,14.0
香蕉,国产一级,8.0
西瓜,本地主销,5.6
梨,新鲜一级,5.0
